"UNIT NUMBER","total_predicted_cost","total_actual_cost","avg_repair_duration","work_order_count","last_service_date","strategy","estimated_savings"
"12200095",3575.5865237544,2084.793447386,22.5,8,11-04-24,"Monitor Closely",357.55865237544
"12200096",2002.2501516906,2921.885243693,137,2,9-04-24,"Monitor Closely",200.22501516906
"12200097",2929.20850566303,1418.59191813,90.6,5,10-10-24,"Monitor Closely",292.920850566303
"12200098",2877.77237695417,2822.87,0,7,11-07-24,"Keep as-it is",0
"12200099",6631.70587141137,9032.007947805,71,12,12-11-24,"Consider Replacement",1657.92646785284
"12200100",3421.27860505607,1218.70347224,122.428571428571,7,12-10-24,"Monitor Closely",342.127860505607
"12200101",2573.6805588784,1959.60799237,15,6,12-04-24,"Keep as-it is",0
"12200102",1506.1032881796,753.790466315,0,3,12-05-24,"Keep as-it is",0
"12200103",708.445736755057,288.57913171,0,1,6-03-24,"Keep as-it is",0
"12200104",4187.63139423654,4285.96973658,64,8,12-11-24,"Monitor Closely",418.763139423654
"12200105",830.960077690271,673.88095671,0,2,12-03-24,"Keep as-it is",0
"12200106",2125.84051664566,1429.559873025,45.25,4,12-11-24,"Monitor Closely",212.584051664566
"12200107",3300.39894077558,1649.457920265,40.8333333333333,6,11-05-24,"Monitor Closely",330.039894077558
"12200108",1666.88688254487,1748.934,10.3333333333333,3,9-03-24,"Keep as-it is",0
"12200109",3719.76636903791,5484.2238,36.2,10,11-04-24,"Monitor Closely",371.976636903791
"12200110",4636.41865481994,4563.37405,3,10,11-12-24,"Monitor Closely",463.641865481994
"12200111",1537.35228962896,855.375,15.5,2,9-05-24,"Keep as-it is",0
"12200112",1602.73211316554,1346.43355,7.75,4,10-03-24,"Keep as-it is",0
"12200113",5397.0919746168,3799.3759,7.75,16,11-05-24,"Monitor Closely",539.70919746168
"12200114",869.734190575204,600.862222,40.6666666666667,3,12-04-24,"Monitor Closely",86.9734190575204
"12200115",4058.20090643922,2261.273334,8.85714285714286,7,10-02-24,"Monitor Closely",405.820090643922
"12200116",1978.59301393053,6863.194411,61.3333333333333,3,12-11-24,"Monitor Closely",197.859301393053
"12200117",1653.23927836553,1202.545375,0,4,9-03-24,"Keep as-it is",0
"12200118",1617.98052796934,1865.0495,0,5,11-12-24,"Keep as-it is",0
"12200119",2851.21137979522,2396.103167,5.16666666666667,6,9-03-24,"Keep as-it is",0
"12200120",1531.4188649763,663.725,0,4,11-08-24,"Keep as-it is",0
"12200121",1551.94319499647,1722.97525,0,3,12-10-24,"Keep as-it is",0
"12200122",760.726992056091,965.6139,0,4,11-11-24,"Keep as-it is",0
"12200123",3618.52142139278,3023.1441,34.8571428571429,7,10-04-24,"Monitor Closely",361.852142139278
"12200124",5414.92740180925,6774.878275,12.4,15,12-11-24,"Monitor Closely",541.492740180925
"12200125",4207.10082186355,6200.73795,73.4,15,10-10-24,"Monitor Closely",420.710082186355
"12200126",1952.64044092586,1975.869075,0,7,12-09-24,"Keep as-it is",0
